job_title,experience,employment,company_size,salary,salary
44,0,3,4,63000,63000
172,4,3,2,95000,95000
172,4,3,2,70000,70000
110,4,3,0,250000,48853
45,0,0,4,120000,120000
8,1,3,0,315000,315000
182,6,3,2,220000,220000
182,6,3,2,140000,140000
118,4,3,0,55000,75650
120,1,3,0,360000,360000
183,0,3,4,50000,50000
10,6,3,0,85000,85000
47,4,3,0,90000,90000
183,0,3,4,50000,50000
106,1,3,0,290000,290000
106,1,3,0,232000,232000
106,1,3,0,244000,244000
177,0,3,0,112000,112000
45,0,3,0,72000,72000
101,6,3,2,60000,64955
45,0,3,0,450000,6072
47,4,3,0,45000,53192
29,1,3,2,109000,118002
94,4,3,2,152000,152000
94,4,3,2,91000,91000
112,6,3,0,120000,129910
9,4,3,0,207000,207000
29,1,3,0,300000,300000
195,4,3,0,115000,115000
48,6,3,0,126700,99397
116,0,3,0,52000,52000
156,6,3,0,237000,237000
46,0,3,2,150000,150000
122,6,3,0,110000,110000
170,0,3,0,104000,104000
170,0,3,2,75000,75000
94,6,3,0,165000,165000
154,6,3,0,190000,190000
53,6,3,0,135000,135000
34,4,3,0,150000,117676
123,4,3,0,97900,97900
110,6,3,4,90000,90000
173,6,3,0,175000,175000
45,4,3,0,89998,89998
124,4,3,0,150000,150000
172,4,3,0,115000,115000
123,4,3,0,135000,135000
122,1,3,0,102000,102000
154,6,3,0,108000,108000
47,6,3,2,200000,200000
170,0,3,0,85000,89676
45,0,3,4,50000,50000
94,6,3,2,157000,157000
94,6,3,2,108000,108000
97,1,3,0,148000,148000
175,4,3,2,130000,130000
175,4,3,2,120000,120000
119,4,3,0,450000,65475
191,6,3,0,150000,150000
34,0,3,0,500000,6522
193,6,3,2,184800,184800
193,6,3,2,130800,130800
94,4,3,2,80000,102646
94,4,3,2,60000,76985
172,4,3,0,114000,114000
175,6,3,2,207000,207000
175,6,3,2,153000,153000
177,6,3,0,245000,245000
110,6,3,0,98000,98000
175,6,3,2,220100,220100
175,6,3,2,176080,176080
175,6,3,0,226400,226400
175,6,3,0,124300,124300
111,6,3,0,145000,145000
